station_code,monomodal_stop_id,monomodal_code,stop_name,parent_station,stop_lat,stop_lon,zone_id
ERS,monomodalStopPlace:43219,43219,Versailles Chantiers,IDFM:63880,48.79526039893613,2.1349078603373464,4
ERT,monomodalStopPlace:43142,43142,La Ferté-Alais,IDFM:59661,48.4855007310595,2.352260197381972,5
ESG,monomodalStopPlace:47915,47915,Achères Grand Cormier,IDFM:65190,48.95541092942684,2.0936529195192275,5
ESI,monomodalStopPlace:53784,53784,Le Vésinet - Centre,IDFM:64514,48.89013759185911,2.1343339900216813,4
EST,monomodalStopPlace:470519,470519,Gare de l'Est,IDFM:71359,48.87857171221123,2.360305141171757,1
ETA,monomodalStopPlace:43080,43080,Étampes,IDFM:478855,48.437062675829104,2.159819133907717,5
ETR,monomodalStopPlace:43081,43081,Étréchy,IDFM:59678,48.49387742150091,2.1947692381982216,5
EUD,monomodalStopPlace:43163,43163,Meudon Val Fleury,IDFM:70412,48.807552358196936,2.2409419171683633,3
EUI,monomodalStopPlace:43172,43172,Neuilly-Plaisance,IDFM:73190,48.85252451313788,2.5145898211367705,3
EUV,monomodalStopPlace:46304,46304,Villeneuve Triage,IDFM:69671,48.744611139140474,2.438697833840877,4
EVI,monomodalStopPlace:43171,43171,Nanterre Ville,IDFM:70940,48.89501972616058,2.19511769490499,3
FAR,monomodalStopPlace:45814,45814,Saint-Fargeau,IDFM:62172,48.56502608446919,2.5426100742385285,5
FRA,monomodalStopPlace:43126,43126,Franconville - Le Plessis-Bouchard,IDFM:66005,48.99374640051787,2.2341907839306554,4
GAG,monomodalStopPlace:43044,43044,Gagny,IDFM:73278,48.883728731604535,2.5254046016945138,4
GEN,monomodalStopPlace:43130,43130,Gennevilliers,IDFM:72303,48.93282405536431,2.307982254553742,3
GER,monomodalStopPlace:43198,43198,Saint-Germain-en-Laye,IDFM:64589,48.898745300550765,2.095041912326374,4
GIF,monomodalStopPlace:47888,47888,Gif-sur-Yvette,IDFM:62890,48.698175579920274,2.13649439862523,5
GNY,monomodalStopPlace:47665,47665,Savigny-le-Temple - Nandy,IDFM:62290,48.59548998563483,2.5839359760934313,5
GOU,monomodalStopPlace:47876,47876,Goussainville,IDFM:66535,49.02341075826703,2.4625658079312593,5
GRE,monomodalStopPlace:43131,43131,Gretz-Armainvilliers,IDFM:67658,48.74645539980236,2.727167738339898,5
GRI,monomodalStopPlace:43132,43132,Grigny Centre,IDFM:60797,48.65484195083382,2.39678605544789,5
HAC,monomodalStopPlace:47046,47046,La Hacquinière,IDFM:62825,48.695299548452454,2.1516106103390045,5
HAN,monomodalStopPlace:411428,411428,Chantilly - Gouvieux,IDFM:411429,49.187030004663995,2.4595159140085237,
HAU,monomodalStopPlace:58718,58718,Haussmann Saint-Lazare,IDFM:73688,48.874998862001185,2.328646179742093,1
HEL,monomodalStopPlace:58879,58879,Chelles - Gournay,IDFM:68407,48.87411948897062,2.5833806594500697,4
HEM,monomodalStopPlace:46035,46035,Chemin d'Antony,IDFM:69682,48.747936542587276,2.3126496863919335,4
HEN,monomodalStopPlace:43127,43127,Le Chénay Gagny,IDFM:73266,48.877159125382796,2.5527724908646303,4
HOU,monomodalStopPlace:43082,43082,Houilles - Carrières-sur-Seine,IDFM:64741,48.92034757911033,2.1851757042018707,4
ICH,monomodalStopPlace:44877,44877,Saint-Michel Notre-Dame,IDFM:73620,48.853023793740164,2.344959780029387,1
IER,monomodalStopPlace:43180,43180,Pierrelaye,IDFM:66491,49.01917957374756,2.1545313948758564,5
IEU,monomodalStopPlace:47669,47669,Lieusaint - Moissy,IDFM:62412,48.62833648393033,2.569507070898012,5
INV,monomodalStopPlace:470540,470540,Invalides,IDFM:71274,48.8627130056211,2.3126576509104404,1
IRO,monomodalStopPlace:462388,462388,Viroflay Rive Gauche,IDFM:63923,48.800665521455045,2.17158260741522,3
ISE,monomodalStopPlace:47009,47009,Palaiseau,IDFM:63175,48.71686524330362,2.24558429554376,4
ISO,monomodalStopPlace:473109,473109,Maisons-Laffitte,IDFM:65048,48.94574060746957,2.1446722659338855,4
ISS,monomodalStopPlace:43084,43084,Issy,IDFM:70612,48.81933737870203,2.257883547622023,2
ISY,monomodalStopPlace:44201,44201,Noisy-le-Sec,IDFM:72041,48.8966634168645,2.4591980956866797,3
IVR,monomodalStopPlace:46366,46366,Ivry-sur-Seine,IDFM:424396,48.8139591342409,2.391677280020743,2
JAV,monomodalStopPlace:45346,45346,Javel,IDFM:71150,48.84716158046345,2.27803679359566,1
JUV,monomodalStopPlace:45739,45739,Juvisy,IDFM:478505,48.68970940912314,2.383334629403869,4
LAB,monomodalStopPlace:47904,47904,Villabé,IDFM:60124,48.592814943454,2.461533386360794,5
LAP,monomodalStopPlace:43607,43607,Laplace,IDFM:70427,48.808360137202826,2.3343440158701894,2
LAZ,monomodalStopPlace:58566,58566,Gare Saint-Lazare,IDFM:71370,48.87747568635212,2.3244386552397684,1
LEN,monomodalStopPlace:45067,45067,Villeneuve-Saint-Georges,IDFM:69568,48.730080267741016,2.446304786739812,4
LEP,monomodalStopPlace:46725,46725,Villeparisis - Mitry-le-Neuf,IDFM:68916,48.95316214687084,2.603220561532749,5
LES,monomodalStopPlace:45820,45820,Le Plessis Chenet,IDFM:60006,48.57358727886637,2.4795222910084975,5
LEV,monomodalStopPlace:47883,47883,Chaville - Vélizy,IDFM:69487,48.79968116446791,2.1834187943404744,3
LIC,monomodalStopPlace:44514,44514,Porte de Clichy,IDFM:71545,48.894262568309564,2.3159411535514716,1
LIE,monomodalStopPlace:43223,43223,Villiers-sur-Marne - Le Plessis-Trévise,IDFM:73097,48.82324786783017,2.542644466674205,4
LLI,monomodalStopPlace:43222,43222,Villiers-le-Bel - Gonesse - Arnouville,IDFM:66009,48.99377204005172,2.4162467958973055,4
LOG,monomodalStopPlace:43152,43152,Lognes,IDFM:68123,48.839255049438655,2.633026934567703,5
LOU,monomodalStopPlace:44628,44628,Louvres,IDFM:69300,49.04933726826723,2.5018113143714777,5
LOZ,monomodalStopPlace:474069,474069,Lozère,IDFM:63029,48.705912413627026,2.212717641845953,4
LUX,monomodalStopPlace:43833,43833,Luxembourg,IDFM:71161,48.84543177842458,2.3398088878203698,1
LYO,monomodalStopPlace:470195,470195,Gare de Lyon,IDFM:73626,48.84340211646564,2.376365660931201,1
MAG,monomodalStopPlace:58572,58572,Magenta,IDFM:478733,48.88081039411524,2.358695908637114,1
MAI,monomodalStopPlace:43154,43154,Maisons-Alfort - Alfortville,IDFM:73625,48.80217813521484,2.4264376603578035,3
MAL,monomodalStopPlace:411485,411485,Malesherbes,IDFM:411486,48.293633291470464,2.4010364417288774,
MAS,monomodalStopPlace:47940,47940,Massy - Verrières,IDFM:63320,48.7349579552114,2.273978779055319,4
MEE,monomodalStopPlace:45784,45784,Le Mée,IDFM:62003,48.538746730738936,2.6255537322060074,5
MEL,monomodalStopPlace:47909,47909,Melun,IDFM:61926,48.527491277248295,2.65469836071817,5
MEN,monomodalStopPlace:47899,47899,Mennecy,IDFM:59984,48.57054850948166,2.4319348900260658,5
MIC,monomodalStopPlace:43202,43202,Saint-Michel-sur-Orge,IDFM:60536,48.635615525211605,2.3068029676156123,5
MIT,monomodalStopPlace:43164,43164,Mitry - Claye,IDFM:69065,48.9757479508066,2.6422341369736606,5
MOU,monomodalStopPlace:45761,45761,Moulin Galant,IDFM:60084,48.58688228073328,2.473444919964576,5
MPI,monomodalStopPlace:58270,58270,Champigny,IDFM:73042,48.80682309456137,2.510538043646919,3
MPM,monomodalStopPlace:58757,58757,Champ de Mars Tour Eiffel,IDFM:73844,48.8564765666592,2.2896562493865478,1
MUS,monomodalStopPlace:45705,45705,Musée d'Orsay,IDFM:71269,48.860365575927474,2.326623034830927,1
NAT,monomodalStopPlace:473875,473875,Nation,IDFM:71673,48.84823319072756,2.3959444654495297,1
